Index,Name,Cereals,Condiments,Dairy,Eggs,Fats & Oils,Flour,Fruits,"Herbs, Spices, Dry Seasonings, and Broths",Leavening Agents & Additives,Meat & Poultry,"Nuts, Seeds, & Beans",Seafood,Sweeteners and Flavorers,Vegetables,Alcohol,Grain
75,Cabbage,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,Cake Flour,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,Calabaza,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,Camembert Cheese,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Candlenut,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,Cane Sugar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,Cane Syrup,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,Cannabis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,Canola Oil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,Caper,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
85,Caraway,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,Cardamom,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,Cargamanto,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,Carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Cashew,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,Cassava,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,Castor Sugar,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,Cauliflower,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,Caviar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Cayenne Pepper,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
95,Celery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,Celery Root,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,Celery Seed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,Chayote,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,Cheddar Cheese,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Cherimoya,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,Cherry,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
